Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       295.73165       4.1966234
       295.87129       83.444939
       295.88005       4.5352371
       295.92190       4.5888092
       295.94245       3.9030130
       295.94782       4.0169831
       295.96829       4.6558609
       296.06829       4.8072864
       296.09381       4.7940217
       296.10486       4.2716927
       296.31702       4.9045594
       296.57304       5.6454686
       296.67304       6.0883555
       296.67595       6.0186626
       296.72736       5.8830156
       296.80742       5.6689157
       296.85562       7.4250606
       296.95056       8.8430076
       296.98698       5.8979352
       297.13947       6.7546057
       297.27576       1.3551894
       297.30696       1.3661551
       297.47872       1.4364814
       297.56263       13.867558
       297.57804       1.4351589
       297.58237       1.4391299
       297.59690       1.4611675
       297.63402       1.4625139
       297.66130       1.4716346
       297.70659       1.4873049
       297.77192       1.5219487
       297.81724       1.5279178
       297.82735       1.5321455
       298.00000       1.5918421
       298.07954       1.6289209
       298.08675       1.6236784
       298.17954       2.0077055
       298.18462       1.7394021
       298.18675       1.7754155
       298.22455       1.6791906
